A0A2P9HAN0,51534,0.0464063
H6RJT1,E6SH66,0.125
D7B069,37787,0.0416666
A8ING0,A8HR56,0.1579
24115,24111,0.02848
A9GJM0,22731,0.027775
Q73J88,39005,0.0333333
A9HRH7,31873,0.027775
Q189H3,31721,0.0277833
A8FC21,26655,0.0333333
I0IQG4,45786,0.0625
I0HE90,6585,0.0256333
47024,47023,0.0208334
37067,32103,0.0208375
G8M2L1,29437,0.0277833
O31586,29781,0.025
31714,31707,0.0208334
46054,46053,0.028143
31474,31449,0.0416625
D8PHP9,41327,0.03125
28445,28442,0.0416666
Q67MH4,Q2II91,0.05555
41518,38747,0.0238167
Q5YW68,C8XJB8,0.25
Q39S69,D7C0B6,0.06665
36801,36800,0.02727
D5U8V1,43028,0.05
R4K1A9,Q7URP1,0.0263
D0LTA8,38400,0.0804
36609,36607,0.025
G4Q3N0,A6WH23,0.1667
39556,26393,0.0208375
B2KEE0,15907,0.074295
A0A1E5IJY1,36813,0.025
B3DZA6,29365,0.020825
F8E378,D1CGQ5,0.08335
Q8R7Q8,3509,0.104175
Q189H3,B5GLS3,0.05
Q2II91,52662,0.0461944
D3F8V7,17973,0.0335
40943,40940,0.0416666
34677,34668,0.0476167
Q5HKQ3,34774,0.0416666
46730,16181,0.0259675
D5UAZ3,32021,0.0277833
D7AXR2,11365,0.0404
I0ICE0,34992,0.0277833
C4XMT6,38148,0.08335
A1AMX1,16190,0.0787
73770,73342,0.0367625
C1ADR8,74376,0.0325334
M4VEP0,D0LXG5,0.1
UPI00022B9C11,29099,0.035725
A5GAR7,73903,0.0308666
M4VW52,16194,0.0375
23201,23189,0.025
A0A0H3CBH4,40456,0.0416625
E6SI56,C7MDY3,0.125
C7Q8W0,55995,0.025
F0RJ23,E8MYN9,0.16665
I0GRI0,35872,0.0277833
C7MB59,41793,0.05
39584,39579,0.0277778
D7CU29,B9L047,0.08335
44093,44092,0.025
A9HGE3,31069,0.020825
53854,53849,0.119112
G2TQJ2,F8IEA8,0.05
F2FA65,43062,0.133333
C8XBP7,C7NJK4,0.3333
D9SN95,33796,0.1
D3QZN0,22895,0.118337
G7W640,F8IIR3,0.0909
B9L324,55996,0.0526835
A6WF96,39575,0.125
53876,53837,0.139176
D3RUV2,41883,0.0277833
Q4FNK1,D6XYR1,0.4
38633,38631,0.0357125
F8K181,25512,0.234109
10580,10569,0.0548065
H6NR27,33762,0.0277833
D1C8E9,39290,0.0333333
42623,42597,0.0208375
I4BTR4,A9ENA3,0.1
45785,45784,0.0442934
44438,44427,0.0859075
31249,31245,0.041675
37032,29566,0.022725
3327,3326,0.0208375
I4F4W7,23200,0.025
F4CY73,73968,0.025
22300,22296,0.0396825
23097,23096,0.03125
Q72FU1,41982,0.025
I0IFH8,36226,0.035725
21066,21062,0.084958
16026,16023,0.0363625
Q39S69,B1ZWV0,0.16665
42390,42315,0.0246889
D7CVP2,44624,0.041675
E8N4F3,32373,0.022725
Q87W22,Q7UVZ3,0.07145
B2GIT6,31192,0.0208334
Q1QSW1,E8NF03,0.0625
B3DY86,B0VGJ0,0.125
15917,15800,0.02132
B9L3D7,23074,0.02525
H2KA95,F8AX32,0.0625
B8GMG9,A0QRE1,0.08335
Q1AX38,D3FDZ7,0.08335
31663,31662,0.0238083
H2JLU8,22902,0.0625
I4BF51,45297,0.025
E3DM38,B2KDN9,0.1429
I0H2I7,A0JV39,0.08335
F6ELR8,D1BJS0,0.03125
A7HAH7,73121,0.03125
40245,40244,0.0666665
H6RLI9,34250,0.025
A0A0D5ZCP8,32288,0.022725
C3PHB1,39108,0.027775
A9BI90,27834,0.0219715
J7ITI1,C7Q8L4,0.0375
D2S3T7,D1BFV8,0.0625
J9Z8Q6,F3YTN8,0.125
28869,28865,0.03125
Q8FTW6,C8XJB8,0.25
33102,33100,0.0208334
Q7URA5,Q72AB6,0.05555
A0A829HVP4,35695,0.0333333
36774,36772,0.03125
F2JPH6,D8GS74,0.10715
A0PYQ1,40950,0.0208334
F4GYM3,31277,0.0277833
60169,60158,0.0208334
E3IYE7,22555,0.0952335
C5C5A5,43997,0.025
O50382,D7AZK0,0.05
I4EUN9,42205,0.035725
A0PYI5,37937,0.041675
C7LYY1,62502,0.04545
C0Z8D4,30645,0.0238167
R4LE78,Q7US65,0.25
I0H2H5,C7R655,0.6667
B5Y6M1,B0TI96,0.5
Q8EW54,I4D5B0,0.07145
F3YY92,32653,0.125
C7MST0,16421,0.05
Q189H3,F7XYK6,0.16665
55486,55485,0.177292
Q8RAX1,E0RAW4,0.02275
C1ADR8,74375,0.05472
Q1ATC1,21313,0.0238167
46323,46321,0.026325
37954,37902,0.053586
R4LC70,F6DRJ0,0.069
45988,45979,0.025
R4LWF8,A6WH78,0.1
B9L047,22104,0.041675
F2NPB8,C7LYF7,0.125
D5SQJ4,15913,0.0507165
15104,15101,0.313836
72698,72697,0.05
21070,21066,0.0390404
L0F660,A0A7U4DN56,0.4
M4VYF3,B5YHK8,0.02085
C5CIZ0,A5IM69,0.07145
C8XCP7,17792,0.020825
J7J5V5,38606,0.0208334
I0I0C2,F8JW34,0.16665
I4F0F4,E2Q1S8,0.03845
39587,39586,0.0277778
E4Q1E9,26349,0.03277
Q28RH6,15745,0.0315542
G8X2H1,30390,0.0416666
A0QSE4,42639,0.0208334
F4D0G3,34893,0.0333333
45029,29863,0.0476167
29973,26468,0.0416666
Q0C2M4,A0JST6,0.08335
C7PZ94,38065,0.2143
H8INU9,A9G5M3,0.125
B5EGR3,74301,0.058025
34056,34043,0.0208334
I0IBZ0,E4N1C9,0.05
UPI00022B93D1,31257,0.0208334
47660,47640,0.02953
I0IDF4,C9Z672,0.125
C1A5X4,74375,0.02401
Q833L2,Q5HPK3,0.0625
E7FTN5,A0A0D5ZCP5,0.05
35208,35196,0.03125
45981,45979,0.0833335
C7NI69,B8GTQ0,0.125
E8PN73,B5GWJ4,0.08335
5817,5811,0.0385038
Q604R0,I0ICE0,0.5
J9S3W7,35503,0.0416666
32366,32364,0.0208334
G4H4J0,41521,0.0277833
C1A6H6,36087,0.041675
C9Z131,41410,0.0208375
A9CGK6,A5V098,0.05
33252,33251,0.083325
22331,22330,0.0269195
I4BN91,23743,0.05
Q189H3,D5UEB3,0.1
C8XBP7,C7Q8L4,0.09615
Q2INU6,D3F7P9,0.08335
F4CLB1,45259,0.025
L0RCR6,D5WVE3,0.05555
H2JLU8,22875,0.025
39937,39929,0.0444445
32169,32167,0.0476167
Q1DFR5,F0M205,0.16665
E1QM46,A8ZX42,0.07145
Q39SP0,74300,0.0469
E4NEE7,55430,0.06889
33837,33834,0.027775
Q2JB38,C9ZCH9,0.14285
E3GPY4,C6WL68,0.02085
40566,40565,0.0277833
B9L4G9,22399,0.0416666
H2K112,E2Q1L2,0.2188
F6DVC4,30385,0.03334
34701,34698,0.025
A6W447,34178,0.020825
15815,15806,0.0300562
30832,30831,0.0476167
Q7NKZ9,Q28RH6,0.05
F4D1A5,31956,0.0333333
B5EBZ9,36128,0.022725
33317,33271,0.0211666
74222,74218,0.0416625
Q8ELP4,F2I6Z0,0.25
Q7UIQ5,32011,0.0666665
F8JZB9,38901,0.06
36504,36493,0.0907255
B8GUY1,40437,0.0238167
A7H7E3,73957,0.039475
Q1D3T6,32472,0.027775
36032,35977,0.025
E3IUH4,C7Q2Z1,0.16665
L0R9J7,J9YZB9,0.03845
F6ELR8,E4NA73,0.03335
C7M2Q9,36776,0.03125
39991,39989,0.027775
C6WIA3,50214,0.083325
31731,31728,0.025
A5G9S0,A1AKZ5,1.0
Q24U88,H8IIN0,0.16665
I0IF94,B9L4B9,0.16665
D2Q0I3,D0LL63,0.0625
B5EGR3,74296,0.0762
Q2IK79,29721,0.03125
I4D5B0,B1HUF6,0.07145
H6RRC2,C5C6S9,0.08335
C7LYT1,32908,0.035725
R4LC70,29352,0.0333333
Q2IMM9,42278,0.05
D3F207,25262,0.0833335
C1A707,74376,0.0948
35204,30076,0.027775
G1UBD4,23663,0.03125
P0AB31,34404,0.166666
G0JTV5,44661,0.0333333
I0I346,34088,0.025
L0J6P5,C1P620,0.1
24692,24670,0.0224778
I4EXH4,F2J1L0,0.1
C0ZBQ3,28797,0.0208334
31060,31059,0.025
27929,27927,0.0416625
40860,31441,0.0202
C6WB58,24861,0.083325
F6EEX8,40251,0.03636
F2JHF2,D9SWV8,0.0625
D3FDZ7,47626,0.041675
36796,36793,0.0625
E2PZF4,36187,0.0208334
34418,34415,0.0333333
74298,74296,0.0204783
Q2LW10,15915,0.05795
C1P620,33110,0.03125
M1P7I3,A5V0Y6,0.0278
38955,38551,0.04545
41645,41643,0.0736305
29575,29574,0.0416625
